"","cuid","model","rcp","period","exp_weighted","exp_simple"
"164",305,"CCSM4","rcp45","late",0.33095645199152,0.351684133869142
"165",305,"CCSM4","rcp85","hist",0.178552252321192,0.19233442530786
"166",305,"CCSM4","rcp85","early",0.274788605754515,0.29545070817888
"167",305,"CCSM4","rcp85","mid",0.350413860830528,0.362355638113903
"168",305,"CCSM4","rcp85","late",0.52163982479038,0.513599407914411
"169",305,"CNRM-CM5","rcp45","hist",0.148532037547189,0.183920786601722
"170",305,"CNRM-CM5","rcp45","early",0.185463536883991,0.249744254480336
"171",305,"CNRM-CM5","rcp45","mid",0.209741034078155,0.278550666945921
"172",305,"CNRM-CM5","rcp45","late",0.240745890340842,0.305402712055398
"173",305,"CNRM-CM5","rcp85","hist",0.148478471584532,0.183908081016862
"174",305,"CNRM-CM5","rcp85","early",0.195469212325273,0.262218182015623
"175",305,"CNRM-CM5","rcp85","mid",0.226895533619018,0.292972949465158
"176",305,"CNRM-CM5","rcp85","late",0.322069519694121,0.405247966956501
"177",305,"HadGEM2-ES","rcp45","hist",0.132319406183043,0.168476585620805
"178",305,"HadGEM2-ES","rcp45","early",0.182986429956127,0.239796447335149
"179",305,"HadGEM2-ES","rcp45","mid",0.256107476277931,0.312505579250165
"180",305,"HadGEM2-ES","rcp45","late",0.280667899106138,0.373037893666416
"181",305,"HadGEM2-ES","rcp85","hist",0.132399755127028,0.168437608349122
"182",305,"HadGEM2-ES","rcp85","early",0.193279384756657,0.257659993573971
"183",305,"HadGEM2-ES","rcp85","mid",0.26790059687787,0.358803845555392
"184",305,"HadGEM2-ES","rcp85","late",0.423063583072309,0.551900805800847
"185",305,"MPI-ESM-LR","rcp45","hist",0.134987182430364,0.172021399848064
"186",305,"MPI-ESM-LR","rcp45","early",0.168290225487195,0.223696190402726
"187",305,"MPI-ESM-LR","rcp45","mid",0.204442148760331,0.261920199562048
"188",305,"MPI-ESM-LR","rcp45","late",0.211202543157729,0.272794821441107
"189",305,"MPI-ESM-LR","rcp85","hist",0.134853267523722,0.171529384745254
"190",305,"MPI-ESM-LR","rcp85","early",0.176578920518314,0.22506264622612
"191",305,"MPI-ESM-LR","rcp85","mid",0.234441638608305,0.287256628661371
"192",305,"MPI-ESM-LR","rcp85","late",0.30435677713045,0.357387456050179
"193",306,"ACCESS1-0","rcp45","hist",0.176542232277526,0.150061016558231
"194",306,"ACCESS1-0","rcp45","early",0.208180618401207,0.198120795501117
"195",306,"ACCESS1-0","rcp45","mid",0.263906485671192,0.272753431950899
"196",306,"ACCESS1-0","rcp45","late",0.333214433052901,0.344552709872799
"197",306,"ACCESS1-0","rcp85","hist",0.176730769230769,0.150402364490783
"198",306,"ACCESS1-0","rcp85","early",0.216425339366516,0.210962538393571
"199",306,"ACCESS1-0","rcp85","mid",0.312836224233283,0.319495990612274
"200",306,"ACCESS1-0","rcp85","late",0.446484116589526,0.460570609287023
"201",306,"CanESM2","rcp45","hist",0.137192684766214,0.113255727650675
"202",306,"CanESM2","rcp45","early",0.184342634489693,0.176082395730916
"203",306,"CanESM2","rcp45","mid",0.242559703368527,0.232291605808786
"204",306,"CanESM2","rcp45","late",0.295584983117715,0.269347194584749
"205",306,"CanESM2","rcp85","hist",0.137392533936652,0.113456468716914
"206",306,"CanESM2","rcp85","early",0.188328305681247,0.173176901849409
"207",306,"CanESM2","rcp85","mid",0.282877073906486,0.260970673157995
"208",306,"CanESM2","rcp85","late",0.464864059710547,0.436933358783715
"209",306,"CCSM4","rcp45","hist",0.175408810960282,0.131795703330338
"210",306,"CCSM4","rcp45","early",0.239639265962795,0.188975780600475
"211",306,"CCSM4","rcp45","mid",0.275483283056812,0.226612518028284
"212",306,"CCSM4","rcp45","late",0.302972957014795,0.25846655898642
"213",306,"CCSM4","rcp85","hist",0.175687845651081,0.132221050952289
"214",306,"CCSM4","rcp85","early",0.263788650075415,0.217180026591771
"215",306,"CCSM4","rcp85","mid",0.327934263448969,0.27662809469357
"216",306,"CCSM4","rcp85","late",0.485783208370869,0.405298484138683
"217",306,"CNRM-CM5","rcp45","hist",0.145050276520865,0.125546055420833
"218",306,"CNRM-CM5","rcp45","early",0.168072209653092,0.164157304382254
"219",306,"CNRM-CM5","rcp45","mid",0.190293803418803,0.194123645829041
"220",306,"CNRM-CM5","rcp45","late",0.222516092261242,0.228037613903143
"221",306,"CNRM-CM5","rcp85","hist",0.1451860231272,0.125712701528867
"222",306,"CNRM-CM5","rcp85","early",0.182299522373052,0.183445867070743
"223",306,"CNRM-CM5","rcp85","mid",0.211732340372046,0.218455677531417
"224",306,"CNRM-CM5","rcp85","late",0.295595837305376,0.317926177634995
"225",306,"HadGEM2-ES","rcp45","hist",0.130260180995475,0.11073400180695
"226",306,"HadGEM2-ES","rcp45","early",0.167203368526898,0.154019666729938
"227",306,"HadGEM2-ES","rcp45","mid",0.237512254901961,0.239902807248031
"228",306,"HadGEM2-ES","rcp45","late",0.250374149874365,0.275448455420918
"229",306,"HadGEM2-ES","rcp85","hist",0.13000754147813,0.110562762621468
"230",306,"HadGEM2-ES","rcp85","early",0.179078054298643,0.173830201744336
"231",306,"HadGEM2-ES","rcp85","mid",0.239443815987934,0.258725835221103
"232",306,"HadGEM2-ES","rcp85","late",0.386546769956412,0.437553329715801
"233",306,"MPI-ESM-LR","rcp45","hist",0.133379524886878,0.114828386485732
"234",306,"MPI-ESM-LR","rcp45","early",0.156939416792358,0.149848174098432
"235",306,"MPI-ESM-LR","rcp45","mid",0.185788084464555,0.179184150986979
"236",306,"MPI-ESM-LR","rcp45","late",0.186229053249232,0.180542804144163
"237",306,"MPI-ESM-LR","rcp85","hist",0.133402149321267,0.115169347744316
"238",306,"MPI-ESM-LR","rcp85","early",0.16482905982906,0.155530833255153
"239",306,"MPI-ESM-LR","rcp85","mid",0.218332076420312,0.213421434059803
"240",306,"MPI-ESM-LR","rcp85","late",0.280090494982338,0.27875155934839
"241",307,"ACCESS1-0","rcp45","hist",0.181446629213483,0.123902972617835
"242",307,"ACCESS1-0","rcp45","early",0.22252106741573,0.190236222592219
"243",307,"ACCESS1-0","rcp45","mid",0.281956928838951,0.251119271507807
"244",307,"ACCESS1-0","rcp45","late",0.362051105203317,0.309367073462142
"245",307,"ACCESS1-0","rcp85","hist",0.181479400749064,0.123960962541638
"246",307,"ACCESS1-0","rcp85","early",0.234241573033708,0.200111643951743
"247",307,"ACCESS1-0","rcp85","mid",0.339865012484395,0.296625977929486
"248",307,"ACCESS1-0","rcp85","late",0.478247884817956,0.38948634759349
"249",307,"CanESM2","rcp45","hist",0.139927434456929,0.0972016244532823
"250",307,"CanESM2","rcp45","early",0.19334581772784,0.163224821642586
"251",307,"CanESM2","rcp45","mid",0.257602215980025,0.207488314593932
"252",307,"CanESM2","rcp45","late",0.320309003903303,0.235304327493551
"253",307,"CanESM2","rcp85","hist",0.140152153558052,0.0977774485977867
"254",307,"CanESM2","rcp85","early",0.199806491885144,0.164907575812581
"255",307,"CanESM2","rcp85","mid",0.306301498127341,0.235594412765572
"256",307,"CanESM2","rcp85","late",0.496585254572109,0.351820381564752
"257",307,"CCSM4","rcp45","hist",0.184688280274657,0.117648827628632
"258",307,"CCSM4","rcp45","early",0.263924781523096,0.178260967738878
"259",307,"CCSM4","rcp45","mid",0.303203027465668,0.211751306010599
"260",307,"CCSM4","rcp45","late",0.339295113889018,0.23974774201504
"261",307,"CCSM4","rcp85","hist",0.184800639825219,0.118006854877771
"262",307,"CCSM4","rcp85","early",0.283201076779026,0.197162370021459
"263",307,"CCSM4","rcp85","mid",0.361592540574282,0.254909530661338
"264",307,"CCSM4","rcp85","late",0.540859000403856,0.349124946563306
"265",307,"CNRM-CM5","rcp45","hist",0.149467852684145,0.110617027769486
"266",307,"CNRM-CM5","rcp45","early",0.178996956928839,0.159128125753699
"267",307,"CNRM-CM5","rcp45","mid",0.201839497503121,0.184044598560971
"268",307,"CNRM-CM5","rcp45","late",0.23807879860318,0.204810430714638
"269",307,"CNRM-CM5","rcp85","hist",0.149617665418227,0.110998566078848
"270",307,"CNRM-CM5","rcp85","early",0.18792524968789,0.1684921005346
"271",307,"CNRM-CM5","rcp85","mid",0.22177629525593,0.194615986191012
"272",307,"CNRM-CM5","rcp85","late",0.311942973792847,0.277348974908793
"273",307,"HadGEM2-ES","rcp45","hist",0.130397940074906,0.0961704779917007
"274",307,"HadGEM2-ES","rcp45","early",0.174308676654182,0.147174617884148
"275",307,"HadGEM2-ES","rcp45","mid",0.250548923220974,0.217057956234709
"276",307,"HadGEM2-ES","rcp45","late",0.262947563286324,0.247517735349741
"277",307,"HadGEM2-ES","rcp85","hist",0.130472846441948,0.0964996847427213
"278",307,"HadGEM2-ES","rcp85","early",0.183335674157303,0.163545579037491
"279",307,"HadGEM2-ES","rcp85","mid",0.250962078651685,0.235918879292481
"280",307,"HadGEM2-ES","rcp85","late",0.398728838399331,0.357581896338815
"281",307,"MPI-ESM-LR","rcp45","hist",0.131405664794008,0.096445768797451
"282",307,"MPI-ESM-LR","rcp45","early",0.15730024968789,0.130375764816877
"283",307,"MPI-ESM-LR","rcp45","mid",0.196605805243446,0.16590483006134
"284",307,"MPI-ESM-LR","rcp45","late",0.201801588936091,0.172056141315977
"285",307,"MPI-ESM-LR","rcp85","hist",0.131148174157303,0.09562885843442
"286",307,"MPI-ESM-LR","rcp85","early",0.171379525593009,0.143661174089487
"287",307,"MPI-ESM-LR","rcp85","mid",0.228584581772784,0.190989288076856
"288",307,"MPI-ESM-LR","rcp85","late",0.303379548127727,0.254398578331428
"289",308,"ACCESS1-0","rcp45","hist",0.178056059232396,0.147088977273453
"290",308,"ACCESS1-0","rcp45","early",0.214636219401632,0.227272794377746
"291",308,"ACCESS1-0","rcp45","mid",0.271007101843457,0.329268943858539
"292",308,"ACCESS1-0","rcp45","late",0.339826147833035,0.397502036039151
"293",308,"ACCESS1-0","rcp85","hist",0.178173164097915,0.147326676624326
"294",308,"ACCESS1-0","rcp85","early",0.221906165004533,0.242323960246431
"295",308,"ACCESS1-0","rcp85","mid",0.319186939659515,0.37798053770683
"296",308,"ACCESS1-0","rcp85","late",0.445366806638301,0.499916546708804
"297",308,"CanESM2","rcp45","hist",0.138669159867029,0.114618452155283
"298",308,"CanESM2","rcp45","early",0.190150599375441,0.210496467606945
"299",308,"CanESM2","rcp45","mid",0.25081532688627,0.279799675559932
"300",308,"CanESM2","rcp45","late",0.306141547229022,0.327991610742453
"301",308,"CanESM2","rcp85","hist",0.139224463584164,0.11550613320825
"302",308,"CanESM2","rcp85","early",0.195408985594842,0.211485126069896
"303",308,"CanESM2","rcp85","mid",0.292954820187368,0.323193840015639
"304",308,"CanESM2","rcp85","late",0.462570977805876,0.463636742975246
"305",308,"CCSM4","rcp45","hist",0.176501271784023,0.135346921126236
"306",308,"CCSM4","rcp45","early",0.244610657801954,0.216365384630731
"307",308,"CCSM4","rcp45","mid",0.285793165105268,0.285138638937809
"308",308,"CCSM4","rcp45","late",0.315113804821471,0.31433606901561
"309",308,"CCSM4","rcp85","hist",0.176629709378463,0.135583461555305
"310",308,"CCSM4","rcp85","early",0.268596063765488,0.25744558562876
"311",308,"CCSM4","rcp85","mid",0.338418580638662,0.33815179708932
"312",308,"CCSM4","rcp85","late",0.493820424901818,0.45981568721245
"313",308,"CNRM-CM5","rcp45","hist",0.147406064269165,0.127165630081543
"314",308,"CNRM-CM5","rcp45","early",0.174575967059535,0.19433479612903
"315",308,"CNRM-CM5","rcp45","mid",0.198530208018535,0.235725343176878
"316",308,"CNRM-CM5","rcp45","late",0.227531416952674,0.255145812566626
"317",308,"CNRM-CM5","rcp85","hist",0.147511836405762,0.127429892137812
"318",308,"CNRM-CM5","rcp85","early",0.187200941875693,0.216953701128322
"319",308,"CNRM-CM5","rcp85","mid",0.214099488768006,0.246000527300353
"320",308,"CNRM-CM5","rcp85","late",0.304617549314511,0.381249777654395
"321",308,"HadGEM2-ES","rcp45","hist",0.131240556059232,0.112049305391118
"322",308,"HadGEM2-ES","rcp45","early",0.171812984788959,0.18306499086876
"323",308,"HadGEM2-ES","rcp45","mid",0.243979487760653,0.295117097365416
"324",308,"HadGEM2-ES","rcp45","late",0.26053056469172,0.339573260714561
"325",308,"HadGEM2-ES","rcp85","hist",0.131739196131762,0.112093359382292
"326",308,"HadGEM2-ES","rcp85","early",0.184196509519492,0.216830558960984
"327",308,"HadGEM2-ES","rcp85","mid",0.250443865216077,0.326739106503814
"328",308,"HadGEM2-ES","rcp85","late",0.384098251179793,0.466900426891497
"329",308,"MPI-ESM-LR","rcp45","hist",0.13064086582049,0.111806123454444
"330",308,"MPI-ESM-LR","rcp45","early",0.156438249219301,0.163324719164893
"331",308,"MPI-ESM-LR","rcp45","mid",0.19156089453007,0.216042538230878
"332",308,"MPI-ESM-LR","rcp45","late",0.197770848466198,0.226057240286812
"333",308,"MPI-ESM-LR","rcp85","hist",0.130682419159867,0.111873684378909
"334",308,"MPI-ESM-LR","rcp85","early",0.166635186864108,0.172297927187041
