"species","region","culabel","faz","fm_start","fm_peak","fm_end","n_fm","fm_dat_qual","oe_start","oe_peak","oe_end","n_oe","oe_dat_qual","rt_start","rt_peak","rt_end","n_rt","rt_dat_qual","sp_start","sp_peak","sp_end","n_sp","dat_qual","arrival","n_arrival","fm_source_faz","oe_source_faz","oe_age","inc_start","inc_end","rear_start","rear_end","mig_start","mig_end"
"CK","haida gwaii","North Haida Gwaii","HG",81,100,128,0,6,83,108,156,0,6,184,NA,NA,0,3,221.965602346967,246.321604195825,270.677672561692,44,1,150.143768563636,33,"NC","NC","1+",221.965602346967,128,1,365,184,270.677672561692
"CK","nass","Portland Sound-Observatory Inlet-Lower Nass","LNR-P",81,100,128,0,6,83,108,156,0,6,160,206,232,1,2,209.248502374979,225.775737118994,242.303093902454,238,1,191.140526094042,157,"NC","NC","1+",209.248502374979,128,1,365,160,242.303093902454
"CK","nass","Upper Nass","UNR",106,148,180,0,6,154,168,179,0,6,163,181,226,25,1,220.467320567419,242.778367325209,265.08938842992,255,1,201.719995693594,218,"MSK","MSK","1+",220.467320567419,180,1,365,163,265.08938842992
"CK","skeena","Ecstall","LSK",106,148,180,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,235.395601683002,253.973274080935,272.550882190167,86,1,214.904028400835,52,"MSK","MSK","0+",235.395601683002,180,106,179,192.94,272.550882190167
"CK","skeena","Kalum-Early","LSK",81,100,128,0,6,154,168,179,0,6,145.94,167.5,189.06,1,5,224.462304368465,241.386791867694,258.311221830162,90,1,209.63203231704,61,"NC","MSK","1+",224.462304368465,128,1,365,145.94,258.311221830162
"CK","skeena","Kalum-Late","LSK",81,100,128,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,238.944292244172,257.601195285438,276.258125532238,63,2,216.62233411332,53,"NC","MSK","1+",238.944292244172,128,1,365,192.94,276.258125532238
"CK","skeena","Lakelse","LSK",81,100,128,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,232.744015122628,247.238239200736,261.732644334679,66,1,218.085984879203,52,"NC","MSK","1+",232.744015122628,128,1,365,192.94,261.732644334679
"CK","skeena","Lower Skeena","LSK",81,100,128,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,227.604068892598,242.212798855028,256.821515595852,298,1,215.856592945056,244,"NC","MSK","1+",227.604068892598,128,1,365,192.94,256.821515595852
"CK","skeena","Middle Skeena-Large Lakes","MSK",106.5,148,180.25,5,2,154,168,179,0,6,192.94,214.5,236.06,1,5,239.512872341387,255.891365645205,272.26973277683,240,1,225.315373322392,125,NA,"MSK","1+",239.512872341387,180.25,1,365,192.94,272.26973277683
"CK","skeena","Middle Skeena-Mainstem Tributaries","MSK",106,148,180,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,226.469491083919,241.380634431921,256.291906938505,242,1,212.169373344972,204,NA,"MSK","1+",226.469491083919,180,1,365,192.94,256.291906938505
"CK","skeena","Sicintine","USK",106,148,180,0,6,154,168,179,0,6,NA,NA,NA,NA,NA,218.557026976093,228.559180260531,238.55919339406,1,5,218.477033198004,1,"MSK","MSK","1+",218.557026976093,180,1,365,NA,238.55919339406
"CK","skeena","Skeena Estuary","HecLow",81,100,128,0,6,101,127,144,0,6,192.94,214.5,236.06,1,5,248.495467843415,264.957237773398,281.419185563818,52,1,229.569501478881,34,"NC","BCD","1+",248.495467843415,128,1,365,192.94,281.419185563818
"CK","skeena","Upper Bulkley River","MSK",106,148,180,0,6,154,168,179,3,3,145.94,167.5,189.06,1,5,227.857349414464,241.864903095219,255.872784002749,37,1,201.382322816642,20,NA,"MSK","1+",227.857349414464,180,1,365,145.94,255.872784002749
"CK","skeena","Upper Skeena","USK",106,148,180,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,224.082620421461,237.924998278724,251.767229871222,21,1,216.071451916774,14,"MSK","MSK","1+",224.082620421461,180,1,365,192.94,251.767229871222
"CK","skeena","Zymoetz","LSK",81,100,128,0,6,154,168,179,0,6,192.94,214.5,236.06,1,5,224.621641002157,238.033382906486,251.445371080931,46,1,215.527807120951,36,"NC","MSK","1+",224.621641002157,128,1,365,192.94,251.445371080931
"CK","transboundary","Alsek","Alsek",NA,NA,NA,NA,NA,NA,148,177,0,6,144,157,181,2,2,196,215,241,10,1,NA,NA,"","Taku","1+",196,NA,1,365,144,241
"CK","transboundary","Lynn Canal","Lynn",81,100,128,0,6,89,129,142,1,5,165,180,196,2,2,214,226,233,2,2,NA,NA,"NC","UNUK","1+",214,128,1,365,165,233
"CK","transboundary","Stikine-Early Timing","LStk",81,100,128,0,6,113,138,157,20,1,125,160,181,2,4,208,212,230,37,1,NA,NA,"NC","LStk","1+",208,128,1,365,125,230
"CK","transboundary","Stikine-Late Timing","LStk",81,100,128,0,6,113,138,157,20,1,139,179,190,2,4,NA,NA,NA,NA,5,NA,NA,"NC","LStk","1+",NA,128,1,365,139,NA
"CK","transboundary","Taku-Early Timing","Taku",81,100,128,0,6,121,147.5,177,3,4,123,134,163,2,4,198,211,222,1,4,NA,NA,"NC","Taku","1+",198,128,1,365,123,222
"CK","transboundary","Taku-Late Timing","Taku",81,100,128,0,6,121,147.5,177,3,4,156,180,204,3,4,NA,NA,NA,NA,5,NA,NA,"NC","Taku","1+",NA,128,1,365,156,NA
"CK","transboundary","Taku-Mid Timing","Taku",81,100,128,0,6,121,147.5,177,3,4,132,155,186,3,4,218,227,234,8,1,NA,NA,"NC","Taku","1+",218,128,1,365,132,234
"CK","transboundary","Unuk","UNUK",81,100,128,0,6,89,102,137,11,1,165,174,192,1,4,200,217,224,1,4,NA,NA,"NC","UNUK","1+",200,128,1,365,165,224
"CK","transboundary","Whiting","Whiting",81,100,128,0,6,121,148,177,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC","Taku","1+",NA,128,1,365,NA,NA
"CK","vancouver island and mainland inlets","East Vancouver Island-Cowichan and Koksilah (Fall x-1)","EVI",56.5714285714286,89.4285714285714,115.428571428571,6,1,64,129,172,2,4,263,291,301,5,3,262.726519985986,289.061925024533,315.397432645126,64,1,246.073866281091,46,NA,"EVI","0+",262.726519985986,115.428571428571,56.5714285714286,172,263,315.397432645126
"CK","vancouver island and mainland inlets","East Vancouver Island-Georgia Strait (Summer 4-1)","EVI",63,90,116,0,6,81,125,167,0,6,NA,NA,NA,NA,NA,262.430231240315,281.859272476881,301.288288549404,21,1,160.616138957168,28,NA,"EVI","0+",262.430231240315,116,63,167,NA,301.288288549404
"CK","vancouver island and mainland inlets","East Vancouver Island-Goldstream (Fall x-1)","EVI",63,90,116,0,6,81,125,167,0,6,NA,NA,NA,NA,NA,290.742170341795,309.16347124524,327.584798424942,25,1,282.358273957369,35,NA,"EVI","0+",290.742170341795,116,63,167,NA,327.584798424942
"CK","vancouver island and mainland inlets","East Vancouver Island-Nanaimo (Spring x-2)","EVI",63,90,116,0,6,140,161,212,3,4,NA,NA,NA,NA,NA,254.1078012,NA,295.9543861,0,6,236.3591512,0,NA,"EVI","1+",254.1078012,116,1,365,NA,295.9543861
"CK","vancouver island and mainland inlets","East Vancouver Island-Nanaimo and Chemainus (Fall x-1)","EVI",63,90,116,0,6,84,109,136,8,1,NA,NA,NA,NA,NA,264.766903976065,283.59688119851,302.426853084262,40,1,255.434188889748,41,NA,"EVI","0+",264.766903976065,116,63,136,NA,302.426853084262
"CK","vancouver island and mainland inlets","East Vancouver Island-North (Fall x-1)","EVI",63,90,116,0,6,81,125,167,0,6,NA,NA,NA,NA,NA,247.178925157848,272.019116702718,296.859297416039,274,1,235.141347056215,216,NA,"EVI","1+",247.178925157848,116,1,365,NA,296.859297416039
"CK","vancouver island and mainland inlets","East Vancouver Island-Qualicum and Puntledge (Fall x-1)","EVI",68.7142857142857,91.4285714285714,117.142857142857,11,1,68.7142857142857,130.428571428571,186.428571428571,11,1,213,NA,NA,0,5,261.784432004435,284.876240884777,307.968113036976,171,1,255.661288817134,135,NA,"EVI","0+",261.784432004435,117.142857142857,68.7142857142857,186.428571428571,213,307.968113036976
"CK","vancouver island and mainland inlets","Homathko (Summer x-x)","HK",72,92,120,0,6,116,134,150,0,6,NA,NA,NA,NA,NA,229.013715479734,246.954174681652,264.894686967843,67,2,206.511330833228,27,NA,"HK","0+",229.013715479734,120,72,150,NA,264.894686967843
